address,tokens
Mysten-1,212196213858259484
Mysten-2,200779195035356824
Galaxy Digital,165864533339476209
Aftermath,151320032011770070
Luganodes,148512373845841570
DSRV,144488082977127256
Suilend,139963064960431532
Coinbase,136497234517234898
Overclock,130610258147066135
Blockscope.net,125795606144180241
Figment,123948803343387809
BartestneT,122392055793031484
Chainode Tech,119272857234202559
Chorus One,118533871506566779
RepublicCrypto,116826199771022645
Durian,115521406114441525
Persimmon,115519998358760298
n1stake,112577441697731164
Staketab,110201362423887569
BlockVision,108356651105932510
Triton One,104543970965198989
mrgn,103949951176211212
Everstake,96042341569682717
Blockdaemon,95706640708839077
P2P.ORG,90643813430351053
Moonlet,86703761447664266
Ahoy Validator,85981154577155127
Nodeinfra,85929312071437521
Cosmostation,85671055518666015
Staking Defense League,85542663581059286
KiligLab,83307740956102173
ContributionDAO,82916853100246270
OKXEarn,81290851242197424
Alchemy,80310637996793492
Coinage x DAIC,80125869967850147
Artifact,80074113006683633
Stardust Staking,78838128596148065
TPT,77826668439803541
P-OPS Team,76346073050804812
TrustedPoint,75783704240599062
ChainIDE,75304287868712218
LumiWave,74044748045902439
Kraken,73959335670877159
Kiln,72782384176233989
01node,70428243756303167
HEEBOO,66465010636399122
Ankr,65581183111820064
Swyke,65332305153816487
StakingCabin,65187506411307174
Chainflow,64153425487313536
Laine,63625664478114528
Staking Facilities,62888328007712719
Stakin,61845484760620460
Citadel.one,57561651677232361
HashedPotatoes,57449562770241889
ORBR,56866002565384578
Anchorage Digital-2,54238904939773428
Haedal Protocol,53290842936643409
Studio Mirai,51305744484745620
AlphaFi,46888720521400404
Scale3Labs,45857861104545874
Shinlabs,45343255524067432
Allnodes,44334179455132838
Cetus,44087461371547770
NAVI Protocol,41829172100607326
Nelrann,40823079015802083
Nansen | Stake to Stack Points,39392110280169620
H2O Nodes,38496859914368817
Nodes.Guru,38143858967459331
Astro-Stakers,38070411709857791
proofgroup,37734964377834032
Imperator.co,37696919892014492
B-Harvest,37541589574515063
SynergyNodes,37525275488740796
SyncNode,37470295427479999
Obelisk,35214560210972702
Interest Labs,35205315415808330
Suiet,34457845474272868
Kriya Validator,33895047199431464
Chainbase Staking,33726639341517941
Ika,33258051005709901
Anchorage Digital-1,32668402987728641
Brightlystake,32492084251179998
Sentio,32409983225769213
Karrier One,32172864970518076
Cogent Crypto,31855377652626444
Stakely,31066290814965183
Surf,30843024904128398
Bucket Protocol,30384603783362289
Asymmetric Research,30166073897076263
Ledger by P2P.ORG,30039070725079117
Hinode Technologies,29945390161297756
Omnistake,29818663084920009
BLRD,29150469244378825
HashKey Cloud,29078949940655208
ProStaking,29015262300271054
QuantNode,28962429900669280
A41,28932660909043537
TDMTech,28744386156746957
iBriz.ai,28724375851809880
XPRV,28290757459627689
Latitude.sh,27846000824540152
Cypher Capital,27496911007520916
Forbole,27482509134509066
GiveRep,27081204445591060
[NODERS] x Talentum,25963605340769342
Swiss Staking,25742685139152456
hoh.zone,25531062532079537
stakefish,24831267080880413
MIDL.dev,24546166695001369
Peeranha,23627264268578003
Neuler,23498105295848680
ZKV,22540360316371048
SenseiNode,21651233176452454
Encapsulate,20045265826943404
BiXinKelePool,17184907908314550
Node Guardians,16001039602092032
DoubleUp,15982883554614280
FP Validated,15048471240222949
Scallop,14974453850889182
InfStones,13658722591594570
TenX Protocols,3131021843534548
